date,avg_price,median_price,min_price,max_price,volume,volatility_std
2026-01-11,169114,166147,155563,187570,22,9683
2026-01-12,169114,166147,155563,187570,22,9683
2026-01-13,168368,165857,155563,187570,22,10077
2026-01-16,167286,166147,125563,187570,22,13665
2026-01-17,167630,169719,125563,187570,25,13905
2026-01-18,167791,169777,125563,187570,25,13918
2026-01-19,167666,169748,125563,187570,24,14203
2026-01-20,166559,165621,125563,187570,22,14456
2026-01-21,165839,165000,125563,187570,23,14540
2026-01-22,165603,164516,125563,187570,23,14598
2026-01-23,165857,162591,125563,187570,23,14845
2026-01-24,165553,162552,125563,187570,24,14595
2026-01-25,165553,162552,125563,187570,24,14595
2026-01-26,165553,162552,125563,187570,24,14595
2026-01-27,166562,164824,135563,187570,22,13975
2026-01-28,166562,164824,135563,187570,22,13975
2026-01-29,167470,168417,135563,187570,22,13851
2026-01-30,166681,167142,135563,187252,22,13000
2026-01-31,165664,163052,135563,187252,19,13630
2026-02-01,165664,163052,135563,187252,19,13630
2026-02-02,165664,163052,135563,187252,19,13630
2026-02-03,165059,162821,135563,187252,20,13539
2026-02-04,165031,162821,135563,187252,22,12949
2026-02-05,164957,162821,135563,187252,18,14225
2026-02-06,165048,163052,150563,183637,15,9680
2026-02-07,181709,166143,150563,416329,17,61595
2026-02-08,181709,166143,150563,416329,17,61595
2026-02-09,182264,166143,150563,416329,17,61339
2026-02-10,183656,166438,150563,416329,16,63073
2026-02-11,182525,166143,150563,416329,17,61278
2026-02-12,179649,168000,150563,416329,21,55238
2026-02-13,179553,168000,150563,416329,21,55255
2026-02-14,180781,169253,150563,416329,22,53987
2026-02-15,180781,169253,150563,416329,22,53987
2026-02-16,180553,169253,150563,416329,22,53918
2026-02-17,181940,169253,150563,416329,20,56472
2026-02-18,189030,164563,153563,416329,13,69901
2026-02-19,179967,170454,153563,416695,24,51698
2026-02-20,179967,170454,153563,416695,24,51698
2026-02-21,179992,170454,153563,416695,24,51690
